J,L,M,val_acc,val_loss
2,2,1,0.8732421875,0.49112159572541714
2,2,2,0.8642578125,0.4841334018856287
2,2,3,0.8435546875,0.48846439458429813
2,4,1,0.849609375,0.46339280903339386
2,4,2,0.8599609375,0.3961149984970689
2,4,3,0.862890625,0.39241811726242304
2,6,1,0.847265625,0.5925147719681263
2,6,2,0.8673828125,0.528678935021162
2,6,3,0.8703125,0.5232772622257471
2,8,1,0.85,0.5431702211499214
2,8,2,0.8615234375,0.39760078117251396
2,8,3,0.8619140625,0.3976615248247981
2,10,1,0.841796875,0.4809613022953272
2,10,2,0.8609375,0.4105282872915268
2,10,3,0.8609375,0.4102218337357044
3,2,1,0.8388671875,0.5025842264294624
3,2,2,0.8703125,0.3931970549747348
3,4,1,0.8515625,0.5115047972649336
3,4,2,0.86796875,0.39797677379101515
3,6,1,0.861328125,0.5454181060194969
3,6,2,0.8744140625,0.38997678365558386
3,8,1,0.8638671875,0.5896060280501842
3,8,2,0.8806640625,0.381796489469707
3,10,1,0.853515625,0.4880593325942755
